file	id	offset	raw_size	packed_size
8X8D0.DAX	1	0	6206	4560
8X8D1.DAX	1	0	16818	15066
8X8D1.DAX	3	15066	16818	14867
8X8D1.DAX	5	29933	16818	15215
8X8D1.DAX	7	45148	16818	14874
8X8D1.DAX	9	60022	16818	14286
8X8D1.DAX	11	74308	16818	15651
8X8D1.DAX	13	89959	16818	16109
8X8D1.DAX	15	106068	16818	16004
8X8D1.DAX	17	122072	16818	16330
8X8D1.DAX	19	138402	16818	14906
8X8D1.DAX	22	153308	16818	14349
8X8D1.DAX	201	167657	2048	580
8X8D1.DAX	202	168237	1350	540
BACK1.DAX	1	0	7870	3906
BACK1.DAX	129	3906	7870	4234
BACK1.DAX	3	8140	7870	4574
BACK1.DAX	131	12714	7870	3314
BACK1.DAX	5	16028	7870	3166
BACK1.DAX	133	19194	7870	3954
BACK1.DAX	7	23148	7870	3907
BACK1.DAX	135	27055	7870	4865
BACK1.DAX	9	31920	7870	8062
BACK1.DAX	11	39982	7870	2926
BACK1.DAX	139	42908	7870	6845
BACK1.DAX	13	49753	7870	6359
BACK1.DAX	141	56112	7870	6827
BACK1.DAX	15	62939	7870	7093
BACK1.DAX	143	70032	7870	6928
BACK1.DAX	17	76960	7870	8059
BACK1.DAX	19	85019	7870	4476
BACK1.DAX	147	89495	7870	7459
BACK1.DAX	22	96954	7870	2679
BACK1.DAX	150	99633	7870	5145
BIGPIC1.DAX	112	0	37278	37238
BIGPIC1.DAX	113	37238	37278	38399
BIGPIC1.DAX	114	75637	37278	27332
BIGPIC1.DAX	115	102969	37278	32287
BIGPIC1.DAX	116	135256	37278	37171
BIGPIC1.DAX	117	172427	37278	31000
BORDERS.DAX	0	0	838	660
CHARS.DAX	0	0	758	439
CHARS.DAX	128	439	758	428
CHARS.DAX	1	867	758	440
CHARS.DAX	129	1307	758	436
CHARS.DAX	2	1743	758	431
CHARS.DAX	130	2174	758	423
CHARS.DAX	3	2597	758	461
CHARS.DAX	131	3058	758	455
CHARS.DAX	4	3513	758	441
CHARS.DAX	132	3954	758	427
CHARS.DAX	5	4381	758	444
CHARS.DAX	133	4825	758	425
CHARS.DAX	6	5250	758	458
CHARS.DAX	134	5708	758	463
CHARS.DAX	7	6171	758	429
CHARS.DAX	135	6600	758	427
CHARS.DAX	8	7027	758	435
CHARS.DAX	136	7462	758	428
CHARS.DAX	9	7890	758	444
CHARS.DAX	137	8334	758	425
CHARS.DAX	10	8759	758	425
CHARS.DAX	138	9184	758	418
CHARS.DAX	11	9602	758	436
CHARS.DAX	139	10038	758	422
CHARS.DAX	12	10460	758	433
CHARS.DAX	140	10893	758	436
CHARS.DAX	13	11329	758	427
CHARS.DAX	141	11756	758	422
CHARS.DAX	14	12178	758	427
CHARS.DAX	142	12605	758	425
CHARS.DAX	15	13030	758	422
CHARS.DAX	143	13452	758	425
CHARS.DAX	16	13877	758	464
